Count of concept,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Accidental,Acoustics,Aerospace engineering,Affect (linguistics),Aggregate (composite),Agronomy,Algorithm,Analogy,Anatomy,Animal science,Architectural engineering,Art,Artemisia,Astrobiology,Automotive engineering,Ballast,Biochemical engineering,Biological system,Biology,Biomedical engineering,Biotechnology,Business,Cell biology,Chemistry,Circular economy,Circulation (fluid dynamics),Cognitive science,Computational biology,Computer science,Conformist,Disturbance (geology),Dynamics (music),Ecology,Econometrics,Economic system,Economics,Electrical engineering,Embodied energy,Engineering,Engineering ethics,Environmental economics,Environmental health,Environmental resource management,Environmental science,Epistemology,Falsifiability,Field (mathematics),Fishery,Food science,Framing (construction),Full scale,Futures studies,Geography,Geology,Geometry,Geotechnical engineering,Immersive technology,Key (lock),Marine engineering,Materials science,Mathematics,Mathematics education,Mechanics,Medicine,Microscopy,Nanotechnology,Natural resource economics,Neutron,null,On board,Pharmacology,Philosophy,Physics,Plan (archaeology),Political science,Preprint,Probabilistic logic,Process management,Production (economics),Psychological resilience,Psychology,Rotor (electric),Sociology,Structural engineering,Ventilation (architecture),Virology,Wake,Waste management,(blank),Grand Total
Automotive engineering,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,6
Biochemical engineering,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Biology,,,,1,,,,,1,1,,,,,,,1,1,233,,,18,1,97,,,,2,43,,,,1,,,3,,,1,1,,,,21,,1,,,,,,,6,2,,,,,,9,1,,,55,,1,,,40,,,,2,,,,,,,,2,,,,,2,,,,547
Business,,,,,,,,,,,,,,,,,,,13,,,81,,14,,,,,62,,,,,,1,9,,,10,1,1,,,36,,,,1,,1,,1,11,,,,,,,8,,,,10,,,,,25,,,,,,11,1,,,,1,8,,2,,,,,1,,309
Chemistry,,,,,,1,,1,1,,,,,,,,6,,99,1,2,30,1,353,1,,,,88,1,,,,,,,,,4,,,1,,78,,,,,,,1,,,3,,,,1,,132,2,,2,24,,1,,1,80,,1,1,8,,,,,,,,1,,,,,,,,,926
Circular economy,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Computational biology,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4
Computer science,,1,,,,,,,,,2,2,,,,1,,,19,,,90,,33,,,1,,447,,1,1,,1,,3,1,1,33,,2,,,56,1,,,,1,,,,6,13,1,,1,,2,74,26,1,2,28,,1,,,94,,,1,28,1,4,,,,1,,20,,3,2,,,,,,1006
Current (fluid),,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Econometrics,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3
