"origin","destination"
"Computer science","Philosophy"
"Computer science","Psychology"
"Computer science","Medicine"
"Computer science","Computer science"
"Computer science","Psychology"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Psychology"
"Computer science","Psychology"
"Computer science","Computer science"
"Computer science","Psychology"
"Computer science","Psychology"
"Computer science","Psychology"
"Computer science","Computer science"
"Computer science","Psychology"
"Computer science","Computer science"
"Computer science","Psychology"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Psychology"
"Computer science","Computer science"
"Computer science","Biology"
"Computer science","Computer science"
"Computer science","Psychology"
"Computer science","Business"
"Computer science","Business"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Business"
"Computer science","Computer science"
"Computer science","Mathematics"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Business"
"Computer science","Computer science"
"Biology","Chemistry"
"Biology","Biology"
"Biology","Chemistry"
"Biology","Biology"
"Biology","Biology"
"Biology","Mathematics"
"Biology","Geography"
"Biology","Biology"
"Biology","Chemistry"
"Biology","Chemistry"
"Biology","Biology"
"Biology","Medicine"
"Biology","Computer science"
"Biology","Biology"
"Biology","Chemistry"
"Biology","Biology"
"Biology","Biology"
"Biology","Computer science"
"Biology","Chemistry"
"Biology","Biology"
"Biology","Biology"
"Biology","Biology"
"Biology","Medicine"
"Biology","Chemistry"
"Biology","Biology"
"Biology","Chemistry"
"Biology","Biology"
"Physics","Computer science"
"Physics","Physics"
"Physics","Physics"
"Physics","Materials science"
"Physics","Materials science"
"Physics","Materials science"
"Physics","Materials science"
"Physics","Computer science"
"Physics","Materials science"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Engineering"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Philosophy"
"Psychology","Psychology"
"Psychology","Psychology"
"Political science","Sociology"
"Political science","Sociology"
"Psychology","Sociology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Sociology"
"Psychology","Psychology"
"Psychology","Art"
"Psychology","Psychology"
"Psychology","Sociology"
"Psychology","Psychology"
"Psychology","Political science"
"Psychology","Sociology"
"Psychology","Sociology"
"Psychology","Psychology"
"Psychology","Business"
"Psychology","Psychology"
"Psychology","Sociology"
"Psychology","Sociology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Business"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Political science"
"Economics","Economics"
"Economics","Economics"
"Economics","Business"
"Economics","Economics"
"Economics","Business"
"Economics","Psychology"
"Economics","Business"
"Economics","Computer science"
"Economics","Business"
"Economics","Economics"
"Economics","Political science"
"Economics","Economics"
"Economics","Economics"
"Economics","Psychology"
"Economics","Mathematics"
"Economics","Political science"
"Economics","Economics"
"Economics","Political science"
"Economics","Psychology"
"Computer science","Mathematics"
"Computer science","Mathematics"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Psychology"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Psychology","Geography"
"Psychology","Art"
"Psychology","Sociology"
"Psychology","Sociology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Sociology"
"Psychology","Business"
"Psychology","Psychology"
"Psychology","Sociology"
"Psychology","Sociology"
"Psychology","Psychology"
"Psychology","Computer science"
"Psychology","Business"
"Psychology","Business"
"Psychology","Psychology"
"Psychology","Sociology"
"Psychology","Sociology"
"Psychology","Political science"
"Psychology","Psychology"
"Psychology","Computer science"
"Psychology","Psychology"
"Psychology","History"
"Psychology","Sociology"
"Psychology","Art"
"Psychology","Sociology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","History"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Sociology"
"Psychology","Psychology"
"Psychology","Geography"
"Psychology","Art"
"Psychology","Sociology"
"Psychology","Sociology"
"Psychology","Sociology"
"Psychology","Philosophy"
"Psychology","Business"
"Psychology","Sociology"
"Psychology","Philosophy"
"Psychology","Computer science"
"Psychology","Sociology"
"Psychology","Psychology"
"Psychology","Sociology"
"Psychology","Psychology"
"Psychology","Computer science"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Business"
"Psychology","Psychology"
"Psychology","Art"
"Psychology","Psychology"
"Psychology","Business"
"Psychology","Psychology"
"Psychology","Computer science"
"Psychology","Political science"
"Psychology","Sociology"
"Psychology","Sociology"
"Art","Philosophy"
"Art","Art"
"Art","Psychology"
"Economics","Economics"
"Economics","Political science"
"Economics","Political science"
"Economics","Political science"
"Economics","Political science"
"Economics","Political science"
"Economics","Computer science"
"Biology","Geography"
"Biology","Environmental science"
"Biology","Biology"
"Biology","Geography"
"Biology","Geography"
"Biology","Biology"
"Biology","Geography"
"Biology","Environmental science"
"Biology","Biology"
"Biology","Biology"
"Biology","Geography"
"Biology","Computer science"
"Biology","Environmental science"
"Biology","Biology"
"Biology","Geography"
"Biology","Biology"
"Biology","Geography"
"Biology","Biology"
"Biology","Environmental science"
"Biology","Biology"
"Biology","Geography"
"Biology","Biology"
"Biology","Environmental science"
"Biology","Biology"
"Biology","Geography"
"Biology","Biology"
"Biology","Geography"
"Biology","Biology"
"Biology","Environmental science"
"Biology","Biology"
"Biology","Geography"
"Biology","Biology"
"Biology","Biology"
"Biology","Biology"
"Biology","Biology"
"Biology","Biology"
"Biology","Computer science"
"Biology","Environmental science"
"Biology","Environmental science"
"Biology","Geography"
"Biology","Environmental science"
"Biology","Geography"
"Biology","Biology"
"Biology","Biology"
"Biology","Biology"
"Biology","Geography"
"Biology","Biology"
"Biology","Geography"
"Biology","Geography"
"Biology","Mathematics"
"Biology","Biology"
"Biology","Biology"
"Biology","Biology"
"Biology","Geography"
"Biology","Biology"
"Biology","Biology"
"Biology","Biology"
"Biology","Biology"
"Biology","Biology"
"Biology","Biology"
"Biology","Geography"
"Biology","Biology"
"Biology","Environmental science"
"Biology","Biology"
"Biology","Biology"
"Biology","Environmental science"
"Biology","Biology"
"Biology","Environmental science"
"Biology","Geography"
"Biology","Environmental science"
"Biology","Geography"
"Biology","Biology"
"Biology","Biology"
"Biology","Environmental science"
"Biology","Geology"
"Biology","Geography"
"Biology","Biology"
"Biology","Biology"
"Biology","Environmental science"
"Biology","Biology"
"Biology","Mathematics"
"Biology","Environmental science"
"Biology","Computer science"
"Biology","Biology"
"Biology","Biology"
"Biology","Geography"
"Biology","Geography"
"Biology","Environmental science"
"Biology","Biology"
"Biology","Environmental science"
"Biology","Biology"
"Biology","Environmental science"
"Biology","Geography"
"Biology","Biology"
"Biology","Computer science"
"Biology","Geography"
"Biology","Biology"
"Biology","Geography"
"Biology","Biology"
"Biology","Biology"
"Biology","Geography"
"Biology","Geology"
"Biology","Environmental science"
"Biology","Environmental science"
"Biology","Geography"
"Biology","Environmental science"
"Biology","Biology"
"Biology","Biology"
"Biology","Biology"
"Biology","Biology"
"Biology","Physics"
"Biology","Biology"
"Biology","Environmental science"
"Biology","Biology"
"Biology","Environmental science"
"Biology","Biology"
"Biology","Geography"
"Biology","Computer science"
"Biology","Environmental science"
"Biology","Biology"
"Biology","Geography"
"Biology","Geography"
"Biology","Geography"
"Biology","Biology"
"Biology","Geography"
"Biology","Geography"
"Biology","Environmental science"
"Biology","Environmental science"
"Biology","Environmental science"
"Biology","Geography"
"Biology","Sociology"
"Biology","Geography"
"Biology","Geography"
"Biology","Art"
"Biology","Geography"
"Biology","Environmental science"
"Biology","Geography"
"Art","Geography"
"Art","Art"
"Art","Art"
"Art","Art"
"Art","Art"
"Art","Art"
"Art","Sociology"
"Art","Computer science"
"Art","Geography"
"Art","Art"
"Art","Art"
"Art","Art"
"Art","Art"
"Art","Sociology"
"Art","History"
"Art","History"
"Art","Art"
"Art","Art"
"Art","Art"
"Art","History"
"Art","Art"
"Art","Sociology"
"Art","Philosophy"
"Art","Political science"
"Art","History"
"Art","History"
"Art","Art"
"Business","Business"
"Business","Computer science"
"Business","Mathematics"
"Business","Economics"
"Business","Computer science"
"Business","Business"
"Business","Business"
"Business","Business"
"Business","Business"
"Business","Business"
"Business","Business"
"Business","Business"
"Business","Business"
"Business","Computer science"
"Business","Business"
"Business","Business"
"Business","Computer science"
"Business","Computer science"
"Business","Economics"
"Business","Business"
"Business","Mathematics"
"Business","Business"
"Computer science","Computer science"
"Computer science","Sociology"
"Computer science","Computer science"
"Computer science","History"
"Computer science","Philosophy"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Business"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Psychology"
"Computer science","Computer science"
"Computer science","Engineering"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Business"
"Environmental science","Environmental science"
"Environmental science","Environmental science"
"Environmental science","Environmental science"
"Environmental science","Environmental science"
"Environmental science","Environmental science"
"Environmental science","Environmental science"
"Environmental science","Environmental science"
"Environmental science","Biology"
"Environmental science","Environmental science"
"Environmental science","Environmental science"
"Environmental science","Biology"
"Environmental science","Geography"
"Environmental science","Biology"
"Psychology","Sociology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Political science"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Sociology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Computer science","Mathematics"
"Computer science","Mathematics"
"Computer science","Mathematics"
"Medicine","Medicine"
"Medicine","Business"
"Medicine","Economics"
"Medicine","Economics"
"Medicine","Psychology"
"Medicine","Geography"
"Medicine","Geography"
"Medicine","Psychology"
"Medicine","Medicine"
"Medicine","Medicine"
"Medicine","Psychology"
"Medicine","Medicine"
"Medicine","Medicine"
"Medicine","Sociology"
"Medicine","Medicine"
"Medicine","Psychology"
"Medicine","Psychology"
"Medicine","Psychology"
"Medicine","Psychology"
"Medicine","Political science"
"Medicine","Sociology"
"Medicine","Medicine"
"Medicine","Medicine"
"Medicine","Psychology"
"Medicine","Psychology"
"Medicine","Medicine"
"Medicine","Environmental science"
"Medicine","Psychology"
"Medicine","Political science"
"Physics","Physics"
"Physics","Physics"
"Physics","Computer science"
"Physics","Materials science"
"Physics","Art"
"Business","Economics"
"Business","Economics"
"Business","Business"
"Business","Business"
"Business","Economics"
"Business","Business"
"Business","Business"
"Business","Business"
"Business","Business"
"Business","Computer science"
"Business","Economics"
"Business","Economics"
"Business","Business"
"Business","Economics"
"Business","Business"
"Business","Business"
"Business","Economics"
"Business","Business"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Computer science","Engineering"
"Computer science","Computer science"
"Computer science","Psychology"
"Computer science","Psychology"
"Computer science","Psychology"
"Computer science","Political science"
"Computer science","Political science"
"Computer science","Political science"
"Computer science","Political science"
"Computer science","Computer science"
"Computer science","Political science"
"Computer science","Computer science"
"Computer science","Political science"
"Computer science","Philosophy"
"Computer science","Psychology"
"Computer science","Political science"
"Computer science","Philosophy"
"Computer science","Business"
"Computer science","Computer science"
