"origin","destination"
"Materials science","Materials science"
"Materials science","Chemistry"
"Materials science","Materials science"
"Materials science","Physics"
"Materials science","Physics"
"Materials science","Physics"
"Materials science","Physics"
"Materials science","Materials science"
"Materials science","Materials science"
"Materials science","Physics"
"Materials science","Physics"
"Materials science","Physics"
"Materials science","Physics"
"Materials science","Physics"
"Materials science","Materials science"
"Materials science","Materials science"
"Materials science","Materials science"
"Materials science","Physics"
"Materials science","Physics"
"Materials science","Materials science"
"Materials science","Materials science"
"Materials science","Materials science"
"Materials science","Physics"
"Materials science","Physics"
"Materials science","Physics"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Psychology"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Political science"
"Computer science","Computer science"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Sociology"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Psychology"
"Political science","Computer science"
"Political science","Sociology"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Sociology"
"Political science","Political science"
"Political science","Political science"
"Political science","History"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Sociology"
"Political science","Political science"
"Political science","Computer science"
"Political science","Political science"
"Political science","Computer science"
"Political science","Political science"
"Political science","Political science"
"Political science","Sociology"
"Political science","Political science"
"Political science","Economics"
"Political science","Political science"
"Political science","Political science"
"Political science","Sociology"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","History"
"Political science","Computer science"
"Political science","Political science"
"Political science","Sociology"
"Political science","Business"
"Political science","Political science"
"Political science","Business"
"Political science","Political science"
"Political science","Political science"
"Political science","History"
"Political science","Sociology"
"Political science","Economics"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Psychology"
"Political science","Psychology"
"Political science","Sociology"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Sociology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Medicine"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Medicine"
"Psychology","Psychology"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Medicine"
"Chemistry","Chemistry"
"Chemistry","Medicine"
"Chemistry","Chemistry"
"Chemistry","Psychology"
"Chemistry","Biology"
"Chemistry","Chemistry"
"Chemistry","Medicine"
"Chemistry","Medicine"
"Chemistry","Medicine"
"Chemistry","Medicine"
"Chemistry","Medicine"
"Chemistry","Chemistry"
"Chemistry","Medicine"
"Chemistry","Medicine"
"Chemistry","Medicine"
"Chemistry","Psychology"
"Chemistry","Psychology"
"Chemistry","Medicine"
"Mathematics","Mathematics"
"Mathematics","Chemistry"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Economics","Medicine"
"Economics","Political science"
"Economics","Political science"
"Economics","Political science"
"Economics","Political science"
"Economics","Political science"
"Economics","Political science"
"Economics","Political science"
"Economics","Economics"
"Economics","Political science"
"Economics","Business"
"Economics","Political science"
"Economics","Political science"
